keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status,screening_status
what is he thinking about,interest,TBD,Google autocomplete: what is he thinking a,85,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to hey on hinge,responses,TBD,Google autocomplete: how to respond to hey,85,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable husband quiz,patterns,TBD,Google autocomplete: emotional unavailability h,75,90,7.07,LOW,22,not queried,available,长尾/辅助候选，KD未查
when to end a relationship quiz,breakup,TBD,Google autocomplete: when to end a relationship,75,90,7.31,LOW,32,not queried,available,长尾/辅助候选，KD未查
playful teasing meaning,textmeaning,TBD,Google autocomplete: playful teasing,85,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
is he interested or just being nice,interest,TBD,round3 editorial seed,85,70,0.13,LOW,16,not queried,available,长尾/辅助候选，KD未查
how to respond to rejection,responses,TBD,round3 editorial seed,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
feeling unappreciated in a relationship,patterns,TBD,round3 editorial seed,75,70,,LOW,4,not queried,available,长尾/辅助候选，KD未查
banter flirting,textmeaning,TBD,round3 editorial seed,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he calls me cute,textmeaning,TBD,round3 editorial seed,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to heyyy,responses,TBD,Google autocomplete: how to respond to hey,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to stop chasing women,breakup,TBD,Google autocomplete: how to stop chasing someone w,75,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to stop loving him,breakup,TBD,Google autocomplete: how to stop liking someone h,75,70,2.27,LOW,4,not queried,available,长尾/辅助候选，KD未查
how to end a talking stage over text,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how to end a talking stage,80,70,,LOW,1,not queried,available,长尾/辅助候选，KD未查
does he really care about me,backlog-interest,TBD,unqueried backlog; Google autocomplete: does he care about me,80,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
love bombing after a fight,backlog-signals,TBD,unqueried backlog; Google autocomplete: love bombing a,80,70,2.3,LOW,1,not queried,available,长尾/辅助候选，KD未查
flirting over text with a guy,backlog-interest,TBD,unqueried backlog; Google autocomplete: flirting over text,80,70,0.04,LOW,14,not queried,available,长尾/辅助候选，KD未查
conversation starters for hinge,conversation,TBD,Google autocomplete: conversation starters for couples h,75,70,0.05,LOW,27,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable men traits,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotionally unavailable men,80,70,0.04,LOW,28,not queried,available,长尾/辅助候选，KD未查
how to respond to a compliment flirty,responses,TBD,Google autocomplete: how to respond to a compliment,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship problems help,patterns,TBD,Google autocomplete: relationship doubts h,75,70,12.32,LOW,25,not queried,available,长尾/辅助候选，KD未查
flirty banter meaning,textmeaning,TBD,Google autocomplete: flirty banter,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
she never texts first,distance,TBD,Google autocomplete: he never texts first,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to an apology text,responses,TBD,Google autocomplete: how to respond to an apology,85,70,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he doesn't want you anymore,interest,TBD,Google autocomplete: signs he wants you a,85,70,0.04,LOW,13,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable woman signs,patterns,TBD,Google autocomplete: emotional unavailability w,75,70,,LOW,4,not queried,available,长尾/辅助候选，KD未查
he said he needs space,distance,TBD,Google autocomplete: he needs space h,85,70,0.06,LOW,1,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable women signs,patterns,TBD,Google autocomplete: emotional unavailability w,75,70,,LOW,4,not queried,available,长尾/辅助候选，KD未查
he says he needs space,distance,TBD,Google autocomplete: he needs space h,85,70,0.06,LOW,1,not queried,available,长尾/辅助候选，KD未查
how to get closure after a breakup,breakup,TBD,Google autocomplete: how to get closure a,75,70,,LOW,29,not queried,available,长尾/辅助候选，KD未查
how to get closure from a relationship,breakup,TBD,Google autocomplete: how to get closure,75,70,0.06,LOW,21,not queried,available,长尾/辅助候选，KD未查
signs he is falling for you,interest,TBD,round3 editorial seed,85,50,0.03,LOW,16,not queried,available,长尾/辅助候选，KD未查
what to say when someone ignores you,responses,TBD,round3 editorial seed,85,50,,LOW,2,not queried,available,长尾/辅助候选，KD未查
he says he is not ready for a relationship,distance,TBD,round3 editorial seed,85,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters app,conversation,TBD,Google autocomplete: conversation starters a,75,50,,LOW,17,not queried,available,长尾/辅助候选，KD未查
how to tell if a guy likes you through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: how to tell if a guy likes you over text,80,50,0.05,LOW,17,not queried,available,长尾/辅助候选，KD未查
relationship questions app,conversation,TBD,Google autocomplete: relationship questions a,75,50,1.63,LOW,22,not queried,available,长尾/辅助候选，KD未查
how to respond to hey handsome,responses,TBD,Google autocomplete: how to respond to hey h,85,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why does he leave me on delivered but is active,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: he leaves me on delivered w,80,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he wants you back,interest,TBD,Google autocomplete: signs he wants you,85,50,0.03,LOW,6,not queried,available,长尾/辅助候选，KD未查
conversation starters for him,conversation,TBD,Google autocomplete: conversation starters for couples h,75,50,0.08,MEDIUM,61,not queried,available,长尾/辅助候选，KD未查
how to end a relationship respectfully,breakup,TBD,Google autocomplete: how to end a relationship,75,50,0.04,LOW,11,not queried,available,长尾/辅助候选，KD未查
unreciprocated love meaning,patterns,TBD,Google autocomplete: unreciprocated love,75,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating stages timeline,dating,TBD,Google autocomplete: dating stages,75,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to stop liking someone romantically,breakup,TBD,Google autocomplete: how to stop liking someone,75,50,0.02,LOW,7,not queried,available,长尾/辅助候选，KD未查
my ex texted me happy birthday,breakup,TBD,Google autocomplete: my ex texted me,75,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
did he have feelings for me,interest,TBD,Google autocomplete: does he have feelings for me,85,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship questions and answers,conversation,TBD,Google autocomplete: relationship questions a,75,50,0.24,MEDIUM,44,not queried,available,长尾/辅助候选，KD未查
how to respond to hey what's up,responses,TBD,Google autocomplete: how to respond to hey,85,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
is he interested or just friendly,interest,TBD,Google autocomplete: is he interested or just being nice a,85,50,0.05,LOW,11,not queried,available,长尾/辅助候选，KD未查
playful teasing flirting,textmeaning,TBD,Google autocomplete: playful teasing,85,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship labels list,dating,TBD,Google autocomplete: relationship labels,75,50,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he likes you but is scared,interest,TBD,round3 editorial seed,85,40,,LOW,3,not queried,available,长尾/辅助候选，KD未查
dating communication,dating,TBD,round3 editorial seed,75,40,10.2,LOW,16,not queried,available,长尾/辅助候选，KD未查
how to give him space,distance,TBD,round3 editorial seed,85,40,0.05,LOW,3,not queried,available,长尾/辅助候选，KD未查
do i like him or am i just lonely,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he interested or just lonely,80,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters husband,conversation,TBD,Google autocomplete: conversation starters h,75,40,1.18,MEDIUM,48,not queried,available,长尾/辅助候选，KD未查
signs of hidden attraction,interest,TBD,Google autocomplete: signs of attraction h,85,40,0.15,LOW,13,not queried,available,长尾/辅助候选，KD未查
how to stop liking him,breakup,TBD,Google autocomplete: how to stop liking someone h,75,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how long does the average talking stage last,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how to know if talking stage is going well,80,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable wife,patterns,TBD,Google autocomplete: emotional unavailability w,75,40,0.02,LOW,3,not queried,available,长尾/辅助候选，KD未查
he said he's busy,distance,TBD,Google autocomplete: he says he is busy,85,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he says he's busy,distance,TBD,Google autocomplete: he says he is busy,85,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why does he ignore my texts if he likes me,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional intimacy in friendship,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional intimacy,80,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
long distance relationship questions to ask,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions,80,40,0.05,MEDIUM,35,not queried,available,长尾/辅助候选，KD未查
long distance relationship texts for him,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship texting h,80,40,0.09,LOW,14,not queried,available,长尾/辅助候选，KD未查
how to get clarity in a relationship,responses,TBD,Google autocomplete: how to ask for clarity in a relationship,85,40,0.03,LOW,8,not queried,available,长尾/辅助候选，KD未查
dating intentions examples,dating,TBD,Google autocomplete: dating intentions,75,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters with husband,conversation,TBD,Google autocomplete: conversation starters w,75,40,1.18,MEDIUM,48,not queried,available,长尾/辅助候选，KD未查
unrequited love aesthetic,patterns,TBD,Google autocomplete: unrequited love a,75,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what does he think about,interest,TBD,Google autocomplete: what is he thinking a,85,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
friendly flirting examples,textmeaning,TBD,Google autocomplete: flirting examples w,85,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to a rejection text,responses,TBD,Google autocomplete: how to respond to rejection a,85,40,,LOW,2,not queried,available,长尾/辅助候选，KD未查
conversation starters at a bar,conversation,TBD,Google autocomplete: conversation starters a,75,40,,LOW,6,not queried,available,长尾/辅助候选，KD未查
romantic attraction examples,textmeaning,TBD,Google autocomplete: romantic attraction,85,40,,LOW,0,not queried,available,长尾/辅助候选，KD未查
early dating signs he likes you,dating,TBD,round3 editorial seed,75,30,,LOW,8,not queried,available,长尾/辅助候选，KD未查
when to stop texting a guy,distance,TBD,round3 editorial seed,85,30,,LOW,12,not queried,available,长尾/辅助候选，KD未查
relationship compatibility signs,patterns,TBD,round3 editorial seed,75,30,1.57,LOW,4,not queried,available,长尾/辅助候选，KD未查
aggressive flirting examples,textmeaning,TBD,Google autocomplete: flirting examples a,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why ghosters always come back,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back,80,30,,LOW,1,not queried,available,长尾/辅助候选，KD未查
future faking in long-term relationship,backlog-signals,TBD,unqueried backlog; Google autocomplete: future faking,80,30,,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to ask to be exclusive,responses,TBD,Google autocomplete: how to ask are we exclusive a,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
banter flirting examples,textmeaning,TBD,Google autocomplete: banter flirting,85,30,,LOW,1,not queried,available,长尾/辅助候选，KD未查
how to deal with mixed signals from a guy,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: mixed signals from a guy h,80,30,,LOW,7,not queried,available,长尾/辅助候选，KD未查
ai relationship advice free,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai relationship advice,80,30,3.09,MEDIUM,59,not queried,available,长尾/辅助候选，KD未查
how to respond to a hey,responses,TBD,Google autocomplete: how to respond to hey a,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what is hot and cold at the same time,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: hot and cold texting h,80,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to hey beautiful,responses,TBD,Google autocomplete: how to respond to hey,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional attraction signs,textmeaning,TBD,Google autocomplete: emotional attraction,85,30,,LOW,1,not queried,available,长尾/辅助候选，KD未查
long distance relationship activities online free,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship a,80,30,12.06,LOW,6,not queried,available,长尾/辅助候选，KD未查
healthy relationship needs,patterns,TBD,Google autocomplete: relationship needs h,75,30,,LOW,11,not queried,available,长尾/辅助候选，KD未查
why is he losing interest in me,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest w,80,30,,LOW,12,not queried,available,长尾/辅助候选，KD未查
how to respond to rejection text,responses,TBD,Google autocomplete: how to respond to rejection,85,30,,LOW,3,not queried,available,长尾/辅助候选，KD未查
should you text everyday in the talking stage,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how often should you text in the talking stage a,80,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why is he ignoring my texts all of a sudden,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,30,,LOW,1,not queried,available,长尾/辅助候选，KD未查
what is considered double texting,backlog-texting,TBD,unqueried backlog; Google autocomplete: double texting rules,80,30,,LOW,2,not queried,available,长尾/辅助候选，KD未查
conversation starters for her,conversation,TBD,Google autocomplete: conversation starters for couples h,75,30,0.03,LOW,29,not queried,available,长尾/辅助候选，KD未查
relationship needs assessment,patterns,TBD,Google autocomplete: relationship needs a,75,30,,LOW,23,not queried,available,长尾/辅助候选，KD未查
how to end a relationship amicably,breakup,TBD,Google autocomplete: how to end a relationship a,75,30,1.65,LOW,19,not queried,available,长尾/辅助候选，KD未查
is he losing interest or am i overthinking,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest,80,30,0.03,LOW,11,not queried,available,长尾/辅助候选，KD未查
dating exclusively rules,dating,TBD,Google autocomplete: dating exclusively,75,30,,LOW,8,not queried,available,长尾/辅助候选，KD未查
love bombing examples in relationships,backlog-signals,TBD,unqueried backlog; Google autocomplete: love bombing examples,80,30,0.02,LOW,18,not queried,available,长尾/辅助候选，KD未查
number to text decoder,backlog-tools,TBD,unqueried backlog; Google autocomplete: text message decoder,95,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship needs quiz,patterns,TBD,Google autocomplete: relationship needs,75,30,1.29,LOW,18,not queried,available,长尾/辅助候选，KD未查
how to respond to a compliment humbly,responses,TBD,Google autocomplete: how to respond to a compliment,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating intentions hinge,dating,TBD,Google autocomplete: dating intentions,75,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
harmless flirting examples,textmeaning,TBD,Google autocomplete: flirting examples h,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what he thinks about us,interest,TBD,Google autocomplete: what he thinks,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
unrequited vs unreciprocated,patterns,TBD,Google autocomplete: unreciprocated love,75,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
exclusive relationship rules,dating,TBD,Google autocomplete: exclusive relationship,75,30,0.09,LOW,14,not queried,available,长尾/辅助候选，KD未查
how to respond to rejection from crush,responses,TBD,Google autocomplete: how to respond to rejection,85,30,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to detach from people and situations,breakup,TBD,Google autocomplete: how to detach from someone a,75,30,,LOW,5,not queried,available,长尾/辅助候选，KD未查
signs of attraction between two people,interest,TBD,Google autocomplete: signs of attraction,85,30,0.06,LOW,25,not queried,available,长尾/辅助候选，KD未查
romantic attraction quiz,textmeaning,TBD,Google autocomplete: romantic attraction,85,30,,LOW,1,not queried,available,长尾/辅助候选，KD未查
romantic attraction test,textmeaning,TBD,Google autocomplete: romantic attraction,85,30,1.49,LOW,3,not queried,available,长尾/辅助候选，KD未查
how to tell someone you are not interested,responses,TBD,round3 editorial seed,85,20,0.04,LOW,19,not queried,available,长尾/辅助候选，KD未查
how to ask for clarity in a relationship,responses,TBD,round3 editorial seed,85,20,,LOW,1,not queried,available,长尾/辅助候选，KD未查
he is distant,distance,TBD,round3 editorial seed,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he needs space,distance,TBD,round3 editorial seed,85,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to stop chasing someone,breakup,TBD,round3 editorial seed,75,20,,LOW,1,not queried,available,长尾/辅助候选，KD未查
signs your ex is testing you,breakup,TBD,round3 editorial seed,75,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
heart emoji meaning from a guy,textmeaning,TBD,round3 editorial seed,85,20,,LOW,1,not queried,available,长尾/辅助候选，KD未查
future faking examples in relationships,backlog-signals,TBD,unqueried backlog; Google autocomplete: future faking examples,80,20,,LOW,5,not queried,available,长尾/辅助候选，KD未查
communication barriers in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,20,4.68,LOW,3,not queried,available,长尾/辅助候选，KD未查
what is closure after a breakup,backlog-ex,TBD,unqueried backlog; Google autocomplete: closure after breakup h,80,20,0.06,LOW,7,not queried,available,长尾/辅助候选，KD未查
how to stop chasing him,breakup,TBD,Google autocomplete: how to stop chasing someone h,75,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
emotional unavailability test,patterns,TBD,Google autocomplete: emotional unavailability,75,20,,LOW,26,not queried,available,长尾/辅助候选，KD未查
signs she wants a relationship,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he wants a relationship,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to stop loving her,breakup,TBD,Google autocomplete: how to stop liking someone h,75,20,,LOW,3,not queried,available,长尾/辅助候选，KD未查
how to respond to a rejection,responses,TBD,Google autocomplete: how to respond to rejection a,85,20,,LOW,1,not queried,available,长尾/辅助候选，KD未查
texting habits of older guys,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting habits,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
should i text him first after a date,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: should i text him first,80,20,0.03,LOW,8,not queried,available,长尾/辅助候选，KD未查
emotional attraction sexuality,textmeaning,TBD,Google autocomplete: emotional attraction,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
hot and cold behavior meaning,backlog-signals,TBD,unqueried backlog; Google autocomplete: hot and cold behavior,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does my ex miss me after 6 months,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
can you feel mutual attraction,interest,TBD,Google autocomplete: signs of mutual attraction a,85,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
emotional connection vs love,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional connection,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
chatgpt and relationship advice,backlog-tools,TBD,unqueried backlog; Google autocomplete: chatgpt relationship advice a,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to hey wassup,responses,TBD,Google autocomplete: how to respond to hey w,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
is he worth it quiz,interest,TBD,Google autocomplete: is he worth it,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters at dinner,conversation,TBD,Google autocomplete: conversation starters a,75,20,0.03,MEDIUM,43,not queried,available,长尾/辅助候选，KD未查
inconsistent communication meaning,patterns,TBD,Google autocomplete: inconsistent communication,75,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
love bombing after a breakup,backlog-signals,TBD,unqueried backlog; Google autocomplete: love bombing a,80,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
why is he ignoring my texts but not blocking me,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to detach from someone mentally,breakup,TBD,Google autocomplete: how to detach from someone,75,20,5.25,LOW,10,not queried,available,长尾/辅助候选，KD未查
love bombing and future faking,backlog-signals,TBD,unqueried backlog; Google autocomplete: love bombing a,80,20,,LOW,8,not queried,available,长尾/辅助候选，KD未查
how long is too long for the talking stage,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last h,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
love bombing definition and examples,backlog-signals,TBD,unqueried backlog; Google autocomplete: love bombing examples a,80,20,7.86,LOW,13,not queried,available,长尾/辅助候选，KD未查
signs of an attractive man,interest,TBD,Google autocomplete: signs of attraction a,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to ask if we are exclusive,responses,TBD,Google autocomplete: how to ask are we exclusive,85,20,,LOW,1,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable men meaning,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotionally unavailable men,80,20,,LOW,8,not queried,available,长尾/辅助候选，KD未查
why am i always the one initiating conversations,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: why do i always initiate conversations,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
left on read whatsapp,distance,TBD,Google autocomplete: left on read w,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship needs examples,patterns,TBD,Google autocomplete: relationship needs,75,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ex wants to be friends after break up,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex wants to be friends,80,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
ex wants to be friends after no contact,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex wants to be friends,80,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
should i text my ex best friend,backlog-ex,TBD,unqueried backlog; Google autocomplete: should i text my ex,80,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs she likes you wlw,interest,TBD,Google autocomplete: signs he loves you w,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
good conversation starters hinge,conversation,TBD,Google autocomplete: deep conversation starters h,75,20,0.05,LOW,25,not queried,available,长尾/辅助候选，KD未查
does he find me physically attractive,interest,TBD,Google autocomplete: does he find me attractive,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional unavailability in marriage,patterns,TBD,Google autocomplete: emotional unavailability,75,20,0.02,LOW,15,not queried,available,长尾/辅助候选，KD未查
signs long term relationship is over,breakup,TBD,Google autocomplete: signs a relationship is over w,75,20,0.07,MEDIUM,44,not queried,available,长尾/辅助候选，KD未查
exclusive relationship example,dating,TBD,Google autocomplete: exclusive relationship,75,20,,LOW,7,not queried,available,长尾/辅助候选，KD未查
playful banter flirting,textmeaning,TBD,Google autocomplete: banter flirting,85,20,,LOW,1,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable husband signs,patterns,TBD,Google autocomplete: emotional unavailability h,75,20,0.04,LOW,29,not queried,available,长尾/辅助候选，KD未查
playful teasing emoji,textmeaning,TBD,Google autocomplete: playful teasing,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable widower signs,patterns,TBD,Google autocomplete: emotional unavailability w,75,20,,LOW,2,not queried,available,长尾/辅助候选，KD未查
conversation starters for couples cards,conversation,TBD,Google autocomplete: conversation starters for couples,75,20,0.52,HIGH,100,not queried,available,长尾/辅助候选，KD未查
examples of relationship needs,patterns,TBD,Google autocomplete: relationship needs h,75,20,,LOW,6,not queried,available,长尾/辅助候选，KD未查
romantic attraction flag,textmeaning,TBD,Google autocomplete: romantic attraction,85,20,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to get closure from a breakup,breakup,TBD,Google autocomplete: how to get closure,75,20,0.3,LOW,27,not queried,available,长尾/辅助候选，KD未查
how to tell if a guy is flirting over text,interest,TBD,round3 editorial seed,85,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
how to respond to no response,responses,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to ask someone what they want,responses,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he is acting different,distance,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why do guys text less after a while,distance,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he says he is busy,distance,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional connection signs,textmeaning,TBD,round3 editorial seed,85,10,,LOW,14,not queried,available,长尾/辅助候选，KD未查
he distanced himself,distance,TBD,Google autocomplete: he is distant h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
texting after a second date,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after second date a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
ai chat analyzer instagram,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer,95,10,,,,not queried,available,长尾/辅助候选，KD未查
is he losing interest or just comfortable,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how should communication be in a relationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: situationship communication,80,10,,LOW,16,not queried,available,长尾/辅助候选，KD未查
he distant himself,distance,TBD,Google autocomplete: he is distant h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
constant relationship doubts,patterns,TBD,Google autocomplete: relationship doubts,75,10,,,,not queried,available,长尾/辅助候选，KD未查
texting after first date etiquette,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date,80,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
how to know a guy is into you through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text h,80,10,0.04,MEDIUM,43,not queried,available,长尾/辅助候选，KD未查
is he pulling away or losing interest,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest a,80,10,,,,not queried,available,长尾/辅助候选，KD未查
why do i always text him first,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: i always text first w,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional unavailability examples,patterns,TBD,Google autocomplete: emotional unavailability,75,10,,LOW,24,not queried,available,长尾/辅助候选，KD未查
how to stop chasing her,breakup,TBD,Google autocomplete: how to stop chasing someone h,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
being ghosted after months of dating,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: being ghosted a,80,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he wants serious relationship,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he wants something serious,80,10,0.05,MEDIUM,50,not queried,available,长尾/辅助候选，KD未查
